CODEETBS,LIBETBS,FINESS,CODEUF,LIBUF,DATEUF1,DATEUF2,ACTIVITE,INDICATEURT2A,BUDGET,ANALYSE,CA,LIBCA,CODECR,LIBCR,CODEPOLE
XX,C.H. ANONYME,870123456,000110,DIRECTION,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,931111000,910,DIRECTION GENERALE,100,ADMINISTRATION,5
XX,C.H. ANONYME,870123456,000111,INFORMATIQUE,1991/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9200,910,DIRECTION GENERALE,100,ADMINISTRATION,5
XX,C.H. ANONYME,870123456,000112,ARCHIVES ADMINISTRATIVES,2012/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9200043,910,DIRECTION GENERALE,100,ADMINISTRATION,5
XX,C.H. ANONYME,870123456,000117,MISE A DISPO BUDGET H,2014/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,931121390,911,DIRECTION RESS HUMAINES,100,ADMINISTRATION,5
XX,C.H. ANONYME,870123456,000118,PLAN D URGENCE,2014/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,931111830,911,DIRECTION RESS HUMAINES,100,ADMINISTRATION,5
XX,C.H. ANONYME,870123456,000120,DRH,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,911,DIRECTION RESS HUMAINES,100,ADMINISTRATION,5
XX,C.H. ANONYME,870123456,000122,DOCUMENTATION,1992/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9201,911,DIRECTION RESS HUMAINES,100,ADMINISTRATION,5
XX,C.H. ANONYME,870123456,000127,STANDARD,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92030,911,DIRECTION RESS HUMAINES,100,ADMINISTRATION,5
XX,C.H. ANONYME,870123456,000129,DIRECTION DES SOINS,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9200030,915,DIR SERV SOINS INFIRMIERS,100,ADMINISTRATION,5
XX,C.H. ANONYME,870123456,000130,SYNDICATS,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,911,DIRECTION RESS HUMAINES,100,ADMINISTRATION,5
XX,C.H. ANONYME,870123456,000140,MEDECINE PREVENTIVE,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,911,DIRECTION RESS HUMAINES,100,ADMINISTRATION,5
XX,C.H. ANONYME,870123456,000141,ACCUEIL ADMISSIONS,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9203010,913,GESTION DES MALADES,100,ADMINISTRATION,5
XX,C.H. ANONYME,870123456,000142,SERV MAJEURS PROTEGES,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,931131400,913,GESTION DES MALADES,100,ADMINISTRATION,5
XX,C.H. ANONYME,870123456,000143,REGIE,2000/12/20 00:00:00,2999/12/31 00:00:00,Service,,H,9203030,913,GESTION DES MALADES,100,ADMINISTRATION,5
XX,C.H. ANONYME,870123456,000150,CRECHE,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,93,911,DIRECTION RESS HUMAINES,100,ADMINISTRATION,5
XX,C.H. ANONYME,870123456,000151,AMICALE DU PERSONNEL,2003/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9201010,911,DIRECTION RESS HUMAINES,100,ADMINISTRATION,5
XX,C.H. ANONYME,870123456,000158,MORGUE,2001/12/17 00:00:00,2999/12/31 00:00:00,Service,,H,9203112,912,SERVICES ECONOMIQUES,200,FONCTION LOGISTIQUE,5
XX,C.H. ANONYME,870123456,000160,COMPTABILITE ECONOMAT,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,912,SERVICES ECONOMIQUES,200,FONCTION LOGISTIQUE,5
XX,C.H. ANONYME,870123456,000161,REPROGRAPHIE,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9202040,912,SERVICES ECONOMIQUES,200,FONCTION LOGISTIQUE,5
XX,C.H. ANONYME,870123456,000165,UF RECTIF DES CONS. DE H/,2008/11/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,912,SERVICES ECONOMIQUES,200,FONCTION LOGISTIQUE,5
XX,C.H. ANONYME,870123456,000166,VAGUEMESTRE,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,912,SERVICES ECONOMIQUES,200,FONCTION LOGISTIQUE,5
XX,C.H. ANONYME,870123456,000170,MAGASIN.STOCK,2001/01/01 00:00:00,2999/12/31 00:00:00,Magasin,,H,92,912,SERVICES ECONOMIQUES,200,FONCTION LOGISTIQUE,5
XX,C.H. ANONYME,870123456,000191,PERSO EN CONGE FORMATION,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,931121130,911,DIRECTION RESS HUMAINES,100,ADMINISTRATION,5
XX,C.H. ANONYME,870123456,000210,HEBERGEMENT,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,920,HOTELLERIE,200,FONCTION LOGISTIQUE,5
XX,C.H. ANONYME,870123456,000220,POOL MENAGE,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,915,DIR SERV SOINS INFIRMIERS,100,ADMINISTRATION,5
XX,C.H. ANONYME,870123456,000230,BLANCHISSERIE EXTERNE,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,912,SERVICES ECONOMIQUES,200,FONCTION LOGISTIQUE,5
XX,C.H. ANONYME,870123456,000231,BLANCHISSERIE INTERNE,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,921004,912,SERVICES ECONOMIQUES,200,FONCTION LOGISTIQUE,5
XX,C.H. ANONYME,870123456,000240,RESTAURATION,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,912,SERVICES ECONOMIQUES,200,FONCTION LOGISTIQUE,5
XX,C.H. ANONYME,870123456,000241,PERIMES ALIMENTATION,2014/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,931300000,912,SERVICES ECONOMIQUES,200,FONCTION LOGISTIQUE,5
XX,C.H. ANONYME,870123456,000310,SERV TECHNIQUES - BUREAU,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,912,SERVICES ECONOMIQUES,200,FONCTION LOGISTIQUE,5
